ID-0;ANNOTATOR 2;TEXT 
ID-1;ntr;I need an easy friend
ID-2;ntr;I do, with an ear to lend 
ID-3;ntr;I do think you fit this shoe
ID-4;ntr;I do, but you have a clue 
ID-5;ntr;I’ll take advantage while
ID-6;neg;You hang me out to dry
ID-7;neg;But I can't see you every night
ID-8;pos;Free (I do, I do) 
ID-9;ntr;I'm standing in your line
ID-10;ntr;I do hope you have the time
ID-11;ntr;I do pick a number too
ID-12;pos;I do keep a date with you
ID-13;neg;No, I can't see you every night
ID-14;ntr;I do 
ID-15;ntr;What else should I be
ID-16;ntr;All apologies
ID-17;ntr;What else could I say
ID-18;pos;Everyone is gay
ID-19;ntr;What else could I write
ID-20;ntr;I don't have the right
ID-21;ntr;What else should I be
ID-22;ntr;All apologies
ID-23;pos;In the sun
ID-24;pos;In the sun I feel as one
ID-25;pos;In the sun
ID-26;pos;In the sun
ID-27;ntr;I'm married
ID-28;neg;Buried
ID-29;neg;I wish I was like you
ID-30;ntr;Easily amused
ID-31;ntr;Find my nest of salt
ID-32;neg;Everything is my fault
ID-33;ntr;I'll take all the blame
ID-34;ntr;Aqua seafoam shame
ID-35;ntr;Sunburn with freezeburn
ID-36;neg;Choking on the ashes of her enemy
ID-37;pos;In the sun
ID-38;pos;In the sun I feel as one
ID-39;pos;In the sun
ID-40;pos;In the sun
ID-41;ntr;Married, Married, Married
ID-42;neg;Buried
ID-43;ntr;All in all is all we are...
ID-44;ntr;"Big cheese, make me. Mine says:"" Go to the office."""
ID-45;ntr;"Big cheese, make me. Mine says:"" What'd I say"""
ID-46;ntr;Black is black. Shading back. Need more enemies.
ID-47;ntr;Show you all what a man is.
ID-48;neg;"Big lies, make me. Mine says:"" Go to the office."""
ID-49;ntr;"Big cheese, make me. Mine says:"" What'd I say"""
ID-50;ntr;Black is black. Shading back. Need more enemies.
ID-51;ntr;Cheese glue, how are you
ID-52;ntr;"Big cheese, make me. Mine says:"" Go to the office."""
ID-53;ntr;"Big cheese, make me. Mine says:"" What'd I lie"""
ID-54;ntr;Black is black. Shading back. Need more enemies.
ID-55;ntr;Cheese glue, how are you
ID-56;ntr;Black is black. Shading back. Need more enemies.
ID-57;ntr;Show you all what a man is. Cheese glue, how are you
ID-58;neg;You're enemies. Show you all what a man is.
ID-59;ntr;[Almost inaudible] Ohhhhh, right.
ID-60;ntr;If you wouldn't mind, I wouldn't like it blew.
ID-61;ntr;If you wouldn't mind, I wouldn't like it lose.
ID-62;neg;If you wouldn't care, I wouldn't like to leave.
ID-63;neg;If you wouldn't mind, I wouldn't like to breathe.
ID-64;neg;Is there another reason for your staying
ID-65;neg;Could you believe him when you distrust his stain
ID-66;neg;Here is another word that rhymes with shame.
ID-67;ntr;You could do anything.
ID-68;neg;Butchered sincerity. Act out of loyalty.
ID-69;neg;Defending free country. Wish away. Hey! Had a lobotomy.
ID-70;neg;To save little family. Surrealistic fantasy. Bad boy. Fight!
ID-71;ntr;All we know id restitution. Living out your day of fusion.
ID-72;ntr;If there's a hope, please show me faster. Don't feel guilty, pass a riot.
ID-73;neg;Somebody said that they're not much like I am.
ID-74;ntr;I know I can't make it up. Althought if you go along, I'll sing your song.
ID-75;neg;Sickening pessimists. Despicable masses.
ID-76;neg;Asseverated commumists. Apocalyptic bastards.
ID-77;neg;Rinkydink God. For putting me on this earth.
ID-78;neg;Being very privileged. Death in mind. Nurse!
ID-79;ntr;All we know id restitution. Living out your day of fusion.
ID-80;ntr;If there's a hope, please show me faster. Don't feel guilty, pass a riot.
ID-81;neg;Somebody said that they're not much like I am.
ID-82;ntr;I know I can't make it up. Althought if you go along,
ID-83;ntr;I'll sing your song.
ID-84;neg;Downer.
ID-85;neg;I'm not like them but I can pretend
ID-86;ntr;The sun is gone but I have a light
ID-87;pos;The day is done but I'm having fun
ID-88;pos;I think I'm dumb or maybe I'm just happy
ID-89;pos;I think I'm just happy
ID-90;neg;My heart is broke but I have some glue
ID-91;ntr;Help me inhale and mend it with you
ID-92;ntr;We'll float around and hang out on clouds
ID-93;ntr;Then we'll come down and have a hangover
ID-94;ntr;We'll have a hangover
ID-95;ntr;Skin the sun, fall asleep
ID-96;ntr;Wish away, soul is cheap
ID-97;ntr;Lesson learned, wish me luck
ID-98;ntr;Soothe the burn, wake me up
ID-99;ntr;Bell on door clanks, come on in.
ID-100;ntr;Floyd observes my hairy chin.
ID-101;pos;Sit down chair don't be afraid.
ID-102;ntr;Steamed hot towel on my face.
ID-103;ntr;I was shaved [X3]
ID-104;neg;Barney ties me to the chair.
ID-105;neg;I can't see I'm really scared.
ID-106;ntr;Floyd breaths hard I hear a zip,
ID-107;neg;Pee-pee pressed against my lips.
ID-108;neg;I was shamed [X3]
ID-109;ntr;I sense others in the room opie aunt bee I presume.
ID-110;neg;They take turns and cut me up.
ID-111;neg;I died smothered in Andy's butt
ID-112;ntr;I was shaved [X3]
ID-113;pos;It's so relieving to know that you're leaving as soon as you get paid
ID-114;pos;It's so relaxing to hear you're asking wherever you get your way
