ID;Pred;details
ID-1;pos;{'positive': 1, 'negative': 0}
ID-2;ntr;{'positive': 0, 'negative': 0}
ID-3;ntr;{'positive': 0, 'negative': 0}
ID-4;ntr;{'positive': 0, 'negative': 0}
ID-5;pos;{'positive': 1, 'negative': 0}
ID-6;ntr;{'positive': 0, 'negative': 0}
ID-7;ntr;{'positive': 0, 'negative': 0}
ID-8;ntr;{'positive': 0, 'negative': 0}
ID-9;pos;{'positive': 1, 'negative': 0}
ID-10;pos;{'positive': 1, 'negative': 0}
ID-11;pos;{'positive': 1, 'negative': 0}
ID-12;ntr;{'positive': 0, 'negative': 0}
ID-13;ntr;{'positive': 0, 'negative': 0}
ID-14;ntr;{'positive': 0, 'negative': 0}
ID-15;ntr;{'positive': 0, 'negative': 0}
ID-16;ntr;{'positive': 0, 'negative': 0}
ID-17;ntr;{'positive': 0, 'negative': 0}
ID-18;ntr;{'positive': 0, 'negative': 0}
ID-19;ntr;{'positive': 0, 'negative': 0}
ID-20;ntr;{'positive': 0, 'negative': 0}
ID-21;ntr;{'positive': 0, 'negative': 0}
ID-22;ntr;{'positive': 0, 'negative': 0}
ID-23;pos;{'positive': 1, 'negative': 0}
ID-24;pos;{'positive': 1, 'negative': 0}
ID-25;pos;{'positive': 1, 'negative': 0}
ID-26;pos;{'positive': 1, 'negative': 0}
ID-27;ntr;{'positive': 0, 'negative': 0}
ID-28;ntr;{'positive': 0, 'negative': 0}
ID-29;ntr;{'positive': 0, 'negative': 0}
ID-30;pos;{'positive': 1, 'negative': 0}
ID-31;ntr;{'positive': 0, 'negative': 0}
ID-32;neg;{'negative': 1, 'positive': 0}
ID-33;neg;{'negative': 1, 'positive': 0}
ID-34;neg;{'negative': 1, 'positive': 0}
ID-35;ntr;{'positive': 0, 'negative': 0}
ID-36;neg;{'negative': 2, 'positive': 0}
ID-37;pos;{'positive': 1, 'negative': 0}
ID-38;pos;{'positive': 1, 'negative': 0}
ID-39;pos;{'positive': 1, 'negative': 0}
