ID;Gold;Pred;Text
ID-1;ntr;pos;I need an easy friend
ID-2;ntr;ntr;I do, with an ear to lend
ID-3;ntr;pos;I do think you fit this shoe
ID-4;ntr;ntr;I do, but you have a clue
ID-5;ntr;ntr;I’ll take advantage while
ID-6;neg;ntr;You hang me out to dry
ID-7;neg;ntr;But I can't see you every night
ID-8;pos;pos;Free (I do, I do)
ID-9;ntr;ntr;I'm standing in your line
ID-10;ntr;pos;I do hope you have the time
ID-11;ntr;ntr;I do pick a number too
ID-12;pos;ntr;I do keep a date with you
ID-13;neg;neg;No, I can't see you every night
ID-14;ntr;ntr;I do
ID-15;ntr;ntr;What else should I be
ID-16;ntr;ntr;All apologies
ID-17;ntr;ntr;What else could I say
ID-18;pos;ntr;Everyone is gay
ID-19;ntr;ntr;What else could I write
ID-20;ntr;ntr;I don't have the right
ID-21;ntr;ntr;What else should I be
ID-22;ntr;ntr;All apologies
ID-23;pos;ntr;In the sun
ID-24;pos;ntr;In the sun I feel as one
ID-25;pos;ntr;In the sun
ID-26;pos;ntr;In the sun
ID-27;ntr;ntr;I'm married
ID-28;neg;ntr;Buried
ID-29;neg;pos;I wish I was like you
ID-30;ntr;pos;Easily amused
ID-31;ntr;ntr;Find my nest of salt
ID-32;neg;neg;Everything is my fault
ID-33;ntr;neg;I'll take all the blame
ID-34;ntr;neg;Aqua seafoam shame
ID-35;ntr;ntr;Sunburn with freezeburn
ID-36;neg;neg;Choking on the ashes of her enemy
ID-37;pos;ntr;In the sun
ID-38;pos;ntr;In the sun I feel as one
ID-39;pos;ntr;In the sun
ID-40;pos;ntr;In the sun
ID-41;ntr;ntr;Married, Married, Married
ID-42;neg;ntr;Buried
ID-43;ntr;ntr;All in all is all we are...
ID-44;ntr;ntr;"""Big cheese, make me. Mine says:"""" Go to the office."""""""
ID-45;ntr;ntr;"""Big cheese, make me. Mine says:"""" What'd I say"""""""
ID-46;ntr;neg;Black is black. Shading back. Need more enemies.
ID-47;ntr;ntr;Show you all what a man is.
ID-48;neg;neg;"""Big lies, make me. Mine says:"""" Go to the office."""""""
ID-49;ntr;ntr;"""Big cheese, make me. Mine says:"""" What'd I say"""""""
ID-50;ntr;neg;Black is black. Shading back. Need more enemies.
ID-51;ntr;ntr;Cheese glue, how are you
ID-52;ntr;ntr;"""Big cheese, make me. Mine says:"""" Go to the office."""""""
ID-53;ntr;ntr;"""Big cheese, make me. Mine says:"""" What'd I lie"""""""
ID-54;ntr;neg;Black is black. Shading back. Need more enemies.
ID-55;ntr;ntr;Cheese glue, how are you
ID-56;ntr;neg;Black is black. Shading back. Need more enemies.
ID-57;ntr;ntr;Show you all what a man is. Cheese glue, how are you
ID-58;neg;neg;You're enemies. Show you all what a man is.
ID-59;ntr;ntr;[Almost inaudible] Ohhhhh, right.
ID-60;ntr;neg;If you wouldn't mind, I wouldn't like it blew.
ID-61;ntr;ntr;If you wouldn't mind, I wouldn't like it lose.
ID-62;neg;neg;If you wouldn't care, I wouldn't like to leave.
ID-63;neg;neg;If you wouldn't mind, I wouldn't like to breathe.
ID-64;neg;ntr;Is there another reason for your staying
ID-65;neg;neg;Could you believe him when you distrust his stain
ID-66;neg;neg;Here is another word that rhymes with shame.
ID-67;ntr;ntr;You could do anything.
ID-68;neg;pos;Butchered sincerity. Act out of loyalty.
ID-69;neg;pos;Defending free country. Wish away. Hey! Had a lobotomy.
ID-70;neg;neg;To save little family. Surrealistic fantasy. Bad boy. Fight!
ID-71;ntr;ntr;All we know id restitution. Living out your day of fusion.
ID-72;ntr;pos;If there's a hope, please show me faster. Don't feel guilty, pass a riot.
ID-73;neg;neg;Somebody said that they're not much like I am.
ID-74;ntr;ntr;I know I can't make it up. Althought if you go along, I'll sing your song.
ID-75;neg;neg;Sickening pessimists. Despicable masses.
ID-76;neg;neg;Asseverated commumists. Apocalyptic bastards.
ID-77;neg;pos;Rinkydink God. For putting me on this earth.
ID-78;neg;neg;Being very privileged. Death in mind. Nurse!
ID-79;ntr;ntr;All we know id restitution. Living out your day of fusion.
ID-80;ntr;pos;If there's a hope, please show me faster. Don't feel guilty, pass a riot.
ID-81;neg;neg;Somebody said that they're not much like I am.
ID-82;ntr;ntr;I know I can't make it up. Althought if you go along,
ID-83;ntr;ntr;I'll sing your song.
ID-84;neg;ntr;Downer.
ID-85;neg;neg;I'm not like them but I can pretend
ID-86;ntr;ntr;The sun is gone but I have a light
ID-87;pos;pos;The day is done but I'm having fun
ID-88;pos;ntr;I think I'm dumb or maybe I'm just happy
ID-89;pos;pos;I think I'm just happy
ID-90;neg;ntr;My heart is broke but I have some glue
ID-91;ntr;pos;Help me inhale and mend it with you
ID-92;ntr;ntr;We'll float around and hang out on clouds
ID-93;ntr;ntr;Then we'll come down and have a hangover
ID-94;ntr;ntr;We'll have a hangover
ID-95;ntr;ntr;Skin the sun, fall asleep
ID-96;ntr;pos;Wish away, soul is cheap
ID-97;ntr;pos;Lesson learned, wish me luck
ID-98;ntr;pos;Soothe the burn, wake me up
ID-99;ntr;ntr;Bell on door clanks, come on in.
ID-100;ntr;ntr;Floyd observes my hairy chin.
ID-101;pos;ntr;Sit down chair don't be afraid.
ID-102;ntr;ntr;Steamed hot towel on my face.
ID-103;ntr;ntr;I was shaved [X3]
ID-104;neg;ntr;Barney ties me to the chair.
ID-105;neg;neg;I can't see I'm really scared.
ID-106;ntr;ntr;Floyd breaths hard I hear a zip,
ID-107;neg;ntr;Pee-pee pressed against my lips.
ID-108;neg;neg;I was shamed [X3]
ID-109;ntr;ntr;I sense others in the room opie aunt bee I presume.
ID-110;neg;neg;They take turns and cut me up.
ID-111;neg;neg;I died smothered in Andy's butt
ID-112;ntr;ntr;I was shaved [X3]
