ID;Pred;details
ID-1;pos;{'neg': 0.0, 'neu': 0.247, 'pos': 0.753, 'compound': 0.7269}
ID-2;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-3;pos;{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.3612}
ID-4;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-5;ntr;{'neg': 0.0, 'neu': 0.6, 'pos': 0.4, 'compound': 0.25}
ID-6;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-7;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-8;pos;{'neg': 0.0, 'neu': 0.377, 'pos': 0.623, 'compound': 0.5106}
ID-9;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-10;pos;{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
ID-11;ntr;{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.0772}
ID-12;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-13;neg;{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.296}
ID-14;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-15;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-16;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-17;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-18;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-19;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-20;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-21;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-22;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-23;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-24;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-25;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-26;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-27;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-28;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-29;pos;{'neg': 0.0, 'neu': 0.278, 'pos': 0.722, 'compound': 0.6369}
ID-30;pos;{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6369}
ID-31;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-32;neg;{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}
ID-33;neg;{'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.34}
ID-34;neg;{'neg': 0.608, 'neu': 0.392, 'pos': 0.0, 'compound': -0.4767}
ID-35;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-36;neg;{'neg': 0.565, 'neu': 0.435, 'pos': 0.0, 'compound': -0.7579}
ID-37;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-38;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-39;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-40;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-41;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-42;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-43;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-44;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-45;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-46;neg;{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.5413}
ID-47;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-48;neg;{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.4215}
ID-49;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-50;neg;{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.5413}
ID-51;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-52;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-53;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-54;neg;{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.5413}
ID-55;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-56;neg;{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.5413}
ID-57;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-58;neg;{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.4939}
ID-59;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-60;neg;{'neg': 0.19, 'neu': 0.81, 'pos': 0.0, 'compound': -0.2755}
ID-61;ntr;{'neg': 0.171, 'neu': 0.647, 'pos': 0.183, 'compound': 0.0382}
ID-62;neg;{'neg': 0.368, 'neu': 0.543, 'pos': 0.089, 'compound': -0.5559}
ID-63;neg;{'neg': 0.19, 'neu': 0.81, 'pos': 0.0, 'compound': -0.2755}
ID-64;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-65;neg;{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.4215}
ID-66;neg;{'neg': 0.307, 'neu': 0.693, 'pos': 0.0, 'compound': -0.4767}
ID-67;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-68;pos;{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.5423}
ID-69;pos;{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.7424}
ID-70;neg;{'neg': 0.41, 'neu': 0.385, 'pos': 0.205, 'compound': -0.4926}
ID-71;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-72;pos;{'neg': 0.17, 'neu': 0.473, 'pos': 0.356, 'compound': 0.4464}
ID-73;neg;{'neg': 0.209, 'neu': 0.791, 'pos': 0.0, 'compound': -0.2755}
ID-74;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-75;neg;{'neg': 0.73, 'neu': 0.27, 'pos': 0.0, 'compound': -0.6597}
ID-76;neg;{'neg': 0.808, 'neu': 0.192, 'pos': 0.0, 'compound': -0.8555}
ID-77;pos;{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.2732}
ID-78;neg;{'neg': 0.353, 'neu': 0.395, 'pos': 0.252, 'compound': -0.3132}
ID-79;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-80;pos;{'neg': 0.17, 'neu': 0.473, 'pos': 0.356, 'compound': 0.4464}
ID-81;neg;{'neg': 0.209, 'neu': 0.791, 'pos': 0.0, 'compound': -0.2755}
ID-82;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-83;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-84;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-85;neg;{'neg': 0.387, 'neu': 0.613, 'pos': 0.0, 'compound': -0.2858}
ID-86;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-87;pos;{'neg': 0.0, 'neu': 0.611, 'pos': 0.389, 'compound': 0.6652}
ID-88;ntr;{'neg': 0.254, 'neu': 0.462, 'pos': 0.285, 'compound': 0.1027}
ID-89;pos;{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.5719}
ID-90;ntr;{'neg': 0.213, 'neu': 0.787, 'pos': 0.0, 'compound': -0.2263}
ID-91;pos;{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.4019}
ID-92;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-93;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-94;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-95;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-96;pos;{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.4019}
ID-97;pos;{'neg': 0.0, 'neu': 0.345, 'pos': 0.655, 'compound': 0.6908}
ID-98;pos;{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.3612}
ID-99;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-100;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-101;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-102;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-103;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-104;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-105;neg;{'neg': 0.39, 'neu': 0.61, 'pos': 0.0, 'compound': -0.4927}
ID-106;ntr;{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.1027}
ID-107;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-108;neg;{'neg': 0.643, 'neu': 0.357, 'pos': 0.0, 'compound': -0.5574}
ID-109;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-110;neg;{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.2732}
ID-111;neg;{'neg': 0.579, 'neu': 0.421, 'pos': 0.0, 'compound': -0.6705}
ID-112;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-113;pos;{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.5009}
ID-114;pos;{'neg': 0.0, 'neu': 0.76, 'pos': 0.24, 'compound': 0.6269}
ID-115;pos;{'neg': 0.0, 'neu': 0.834, 'pos': 0.166, 'compound': 0.3804}
ID-116;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-117;neg;{'neg': 0.461, 'neu': 0.294, 'pos': 0.245, 'compound': -0.296}
ID-118;pos;{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4404}
ID-119;neg;{'neg': 0.787, 'neu': 0.213, 'pos': 0.0, 'compound': -0.5719}
ID-120;pos;{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.4588}
ID-121;neg;{'neg': 0.35, 'neu': 0.65, 'pos': 0.0, 'compound': -0.7184}
ID-122;ntr;{'neg': 0.246, 'neu': 0.556, 'pos': 0.198, 'compound': -0.1531}
ID-123;ntr;{'neg': 0.254, 'neu': 0.526, 'pos': 0.219, 'compound': -0.1027}
ID-124;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-125;neg;{'neg': 0.223, 'neu': 0.777, 'pos': 0.0, 'compound': -0.3182}
ID-126;neg;{'neg': 0.312, 'neu': 0.496, 'pos': 0.191, 'compound': -0.4019}
ID-127;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-128;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-129;neg;{'neg': 0.423, 'neu': 0.577, 'pos': 0.0, 'compound': -0.296}
ID-130;neg;{'neg': 0.294, 'neu': 0.706, 'pos': 0.0, 'compound': -0.3612}
ID-131;ntr;{'neg': 0.214, 'neu': 0.583, 'pos': 0.204, 'compound': -0.0258}
ID-132;neg;{'neg': 0.208, 'neu': 0.792, 'pos': 0.0, 'compound': -0.2732}
ID-133;neg;{'neg': 0.307, 'neu': 0.693, 'pos': 0.0, 'compound': -0.4767}
ID-134;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-135;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-136;ntr;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
