ID;Pred;details
ID-3 ;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-4 ;negative;{'neg': 0.084, 'neu': 0.916, 'pos': 0.0, 'compound': -0.296}
ID-5 ;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-6 ;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-7 ;positive;{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.4173}
ID-8 ;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-9 ;negative;{'neg': 0.078, 'neu': 0.922, 'pos': 0.0, 'compound': -0.1531}
ID-10 ;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-11 ;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-12 ;negative;{'neg': 0.124, 'neu': 0.876, 'pos': 0.0, 'compound': -0.4278}
ID-13 ;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-14 ;negative;{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.0572}
ID-15 ;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-16 ;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-17 ;negative;{'neg': 0.075, 'neu': 0.925, 'pos': 0.0, 'compound': -0.0572}
ID-18 ;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-19 ;negative;{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.0572}
ID-20 ;negative;{'neg': 0.264, 'neu': 0.736, 'pos': 0.0, 'compound': -0.0191}
ID-21 ;positive;{'neg': 0.0, 'neu': 0.934, 'pos': 0.066, 'compound': 0.0516}
ID-22 ;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-23 ;positive;{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.3818}
ID-24 ;positive;{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.3818}
ID-25 ;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
