ID	GOLD	PRED	TEXT
ID-1	D	D	Monologues, Movie Scripts, Casting Calls and More - at ActorPoint.com Monologues Movie Scripts Actor Resources Acting & Film Schools Cool Links Actor Point >> Movie Scripts >> Into the Wild Film Script Into The Wild Movie Script Writer(s) : Sean Penn, Jon Krakauer Genres : Adventure, Drama Search IMDb : Into The Wild    INTO THE WILD     Written by  Sean Penn    Based on the book by  Jon Krakauer      1   EXT.
ID-2	J	A	THE STAMPEDE TRAIL - DAY                                    1  SUPER: Tuesday, April 28th 1992  WIDE-SHOT: A vast, snow-blanketed wilderness that sits beneath the icy summits of the highest mountain range in North America.
ID-3	A	A	This is BIG Alaska.
ID-4	A	A	A beat up 4x4 pick-up enters very small into the upper left corner of frame on an unkept, snow-packed road, and comes to a stop.
ID-5	A	A	A figure exits the passenger side and moves around the front of the truck.
ID-6	A	A	We can just make out the rifle sticking out of his backpack.
ID-7	A	A	We HEAR a very distant "Thank You" as the figure walks away from the road and away from the truck, seemingly into nowhere.
ID-8	A	A	DRIVER Hey!
ID-9	A	A	The figure with backpack and rifle, henceforth BACKPACK, stopping in his tracks, turns around in the direction of the truck.
ID-10	A	A	DRIVER (CONT'D) Come here.
ID-11	A	A	BACKPACK walks back to the truck.
ID-12	A	A	As he approaches the driver's door, we  CUT IN TO: TIGHT SHOT over the back-packed shoulder onto the DRIVER.
ID-13	A	A	DRIVER (CONT'D) (referring to items we see sitting on dashboard) You left your watch, your comb, your change...  We STAY on the DRIVER as BACKPACK speaks:  BACKPACK Keep it.
ID-14	A	A	DRIVER I don't want your money.
ID-15	A	A	And I already have a watch.
ID-16	A	A	BACKPACK If you don't take it, I'm gonna throw it away.
ID-17	A	A	I don't want to know what time it is, what day it is, or where I am.
ID-18	A	A	(MORE)  2.
ID-19	A	A	BACKPACK (CONT'D) I don't want to see anybody.
ID-20	A	A	None of that matters.
ID-21	A	A	The driver reaches behind the seat of the truck, pulls out an old pair of rubber work boots.
ID-22	A	A	DRIVER (handing him the boots) Take em.
ID-23	A	A	There is a pause as Backpack considers accepting the boots.
ID-24	A	A	DRIVER (CONT'D) If you make it out alive, give me a call, and I'll tell you how to get the boots back to me.
ID-25	A	A	We can feel over Backpack's shoulder that he has taken the boots and is putting them on but we STAY on the driver.
ID-26	A	A	BACKPACK Hey, do me a favor, will ya?
ID-27	A	A	Take a picture of me.
ID-28	A	A	Backpack hands him an Instamatic camera and starts walking backwards.
ID-29	A	A	We PULL BACK with him.
ID-30	A	A	And he maintains his back to us.
ID-31	A	A	When he stops, we CONTINUE until he is FULL-FRAME, head-to-toe from behind, posing.
ID-32	A	A	CUT TO:  CU: driver  CLICK.
ID-33	A	A	He snaps the shot.
ID-34	A	A	Backpack re-enters frame in an OVER-SHOULDER.
ID-35	A	A	Driver hands him the camera.
ID-36	A	A	DRIVER You gonna be alright?
ID-37	A	A	BACKPACK I'll be better than that.
ID-38	A	A	(I'll be who I am.)
ID-39	A	A	As Backpack exits the frame, we SLOWLY ZOOM past the concerned face of the driver onto the loose change, the comb, and the watch on the dash.
ID-40	A	A	3.
ID-41	A	A	Throughout the ZOOM, the SOUND of FOOTSTEPS CRUNCHING THE SNOW, FADE into the distance.
ID-42	A	A	BACK TO:  ORIGINAL WIDE-SHOT:  We see the small form of the truck and the smaller form of the Backpacker walking away from the truck until the Backpacker has exited the frame.
ID-43	A	A	The truck takes a BEAT, turns around in the snow, and accelerates back into the direction from which it came.
ID-44	A	A	As the truck exits frame, we -  DISSOLVE TO:   2   EXT.
ID-45	A	A	COMMENCEMENT GROUNDS, EMORY UNIVERSITY, ATLANTA -         2 DAY  SUPER: May 1990  The crowd of family and friends, and of course, students.
ID-46	A	A	Assembled on fold-out chairs.
ID-47	A	A	The broad lawn.
ID-48	A	A	INTERCUT: CHRIS MCCANDLESS.
ID-49	A	A	We don't see his face, just feet pounding the pavement at an increasing pace.
ID-50	A	A	One by one the names of graduates announced.
ID-51	A	A	Their bright young faces, capped heads, and gowns, glide up to the podium to accept their diplomas.
ID-52	A	A	INTERCUT: Chris, on his run, sweatshirt hood over head.
ID-53	A	A	Amongst assembled crowd and family we find: THE MCCANDLESS': BILLIE, mid to late forties with dark striking eyes
ID-54	A	A	They look around, looking for Chris, he's nowhere in sight.
ID-55	A	A	INTERCUT: Chris, in a shower (PHOTO-SONICS) He TURNS INTO CAMERA, the water streaming down his face.
ID-56	A	A	From the announcement podium comes the name of their son and brother, CHRISTOPHER JOHNSON MCCANDLESS.
ID-57	A	A	The McCandless family increasingly panicked over Chris' absence, when almost magically, he appears in full cap and gown.
ID-58	A	A	4.
ID-59	A	A	Disregarding the steps that lead up to the podium platform, the small-framed but athletic CHRIS MCCANDLESS leaps jubilantly onto the stage in a single bound, frightening Billie, a little wince from Walt, and Carine "That's our Chris."
ID-60	A	A	And just as quickly as Chris has been handed his diploma, he civilly descends the platform steps.
ID-61	A	A	TIME CUT:  SLO-MO: A ballet of graduation caps float upward into a frame of blue sky.
