ID;GOLD;TEXT
ID-3 ;anger;This is BIG Alaska.
ID-4 ;anger;A beat up 4x4 pick-up enters very small into the upper left corner of frame on an unkept, snow-packed road, and comes to a stop.
ID-5 ;anger;A figure exits the passenger side and moves around the front of the truck.
ID-6 ;anger;We can just make out the rifle sticking out of his backpack.
ID-7 ;anger;"We HEAR a very distant ""Thank You"" as the figure walks away from the road and away from the truck, seemingly into nowhere."
ID-8 ;anger;DRIVER Hey!
ID-9 ;anger;The figure with backpack and rifle, henceforth BACKPACK, stopping in his tracks, turns around in the direction of the truck.
ID-10 ;anger;DRIVER (CONT'D) Come here.
ID-11 ;anger;BACKPACK walks back to the truck.
ID-12 ;anger;As he approaches the driver's door, we  CUT IN TO: TIGHT SHOT over the back-packed shoulder onto the DRIVER.
ID-13 ;anger;DRIVER (CONT'D) (referring to items we see sitting on dashboard) You left your watch, your comb, your change...  We STAY on the DRIVER as BACKPACK speaks:  BACKPACK Keep it.
ID-14 ;anger;DRIVER I don't want your money.
ID-15 ;anger;And I already have a watch.
ID-16 ;anger;BACKPACK If you don't take it, I'm gonna throw it away.
ID-17 ;anger;I don't want to know what time it is, what day it is, or where I am.
ID-18 ;anger;(MORE)  2.
ID-19 ;anger;BACKPACK (CONT'D) I don't want to see anybody.
ID-20 ;anger;None of that matters.
ID-21 ;anger;The driver reaches behind the seat of the truck, pulls out an old pair of rubber work boots.
ID-22 ;anger;DRIVER (handing him the boots) Take em.
ID-23 ;anger;There is a pause as Backpack considers accepting the boots.
ID-24 ;anger;DRIVER (CONT'D) If you make it out alive, give me a call, and I'll tell you how to get the boots back to me.
ID-25 ;anger;We can feel over Backpack's shoulder that he has taken the boots and is putting them on but we STAY on the driver.
ID-26 ;anger;BACKPACK Hey, do me a favor, will ya?
ID-27 ;anger;Take a picture of me.
ID-28 ;anger;Backpack hands him an Instamatic camera and starts walking backwards.
ID-29 ;anger;We PULL BACK with him.
ID-30 ;anger;And he maintains his back to us.
ID-31 ;anger;When he stops, we CONTINUE until he is FULL-FRAME, head-to-toe from behind, posing.
ID-32 ;anger;CUT TO:  CU: driver  CLICK.
ID-33 ;anger;He snaps the shot.
ID-34 ;anger;Backpack re-enters frame in an OVER-SHOULDER.
ID-35 ;anger;Driver hands him the camera.
ID-36 ;anger;DRIVER You gonna be alright?
ID-37 ;anger;BACKPACK I'll be better than that.
ID-38 ;anger;(I'll be who I am.)
ID-39 ;anger;As Backpack exits the frame, we SLOWLY ZOOM past the concerned face of the driver onto the loose change, the comb, and the watch on the dash.
ID-40 ;anger;3.
ID-41 ;anger;Throughout the ZOOM, the SOUND of FOOTSTEPS CRUNCHING THE SNOW, FADE into the distance.
ID-42 ;anger;BACK TO:  ORIGINAL WIDE-SHOT:  We see the small form of the truck and the smaller form of the Backpacker walking away from the truck until the Backpacker has exited the frame.
ID-43 ;anger;The truck takes a BEAT, turns around in the snow, and accelerates back into the direction from which it came.
ID-44 ;anger;As the truck exits frame, we -  DISSOLVE TO:   2   EXT.
ID-45 ;anger;COMMENCEMENT GROUNDS, EMORY UNIVERSITY, ATLANTA -         2 DAY  SUPER: May 1990  The crowd of family and friends, and of course, students.
ID-46 ;anger;Assembled on fold-out chairs.
ID-47 ;anger;The broad lawn.
ID-48 ;anger;INTERCUT: CHRIS MCCANDLESS.
ID-49 ;anger;We don't see his face, just feet pounding the pavement at an increasing pace.
ID-50 ;anger;One by one the names of graduates announced.
ID-51 ;anger;Their bright young faces, capped heads, and gowns, glide up to the podium to accept their diplomas.
ID-52 ;anger;INTERCUT: Chris, on his run, sweatshirt hood over head.
ID-53 ;anger;Amongst assembled crowd and family we find: THE MCCANDLESS': BILLIE, mid to late forties with dark striking eyes
ID-54 ;anger;They look around, looking for Chris, he's nowhere in sight.
ID-55 ;anger;INTERCUT: Chris, in a shower (PHOTO-SONICS) He TURNS INTO CAMERA, the water streaming down his face.
ID-56 ;anger;From the announcement podium comes the name of their son and brother, CHRISTOPHER JOHNSON MCCANDLESS.
ID-57 ;anger;The McCandless family increasingly panicked over Chris' absence, when almost magically, he appears in full cap and gown.
ID-58 ;anger;4.
ID-59 ;anger;"Disregarding the steps that lead up to the podium platform, the small-framed but athletic CHRIS MCCANDLESS leaps jubilantly onto the stage in a single bound, frightening Billie, a little wince from Walt, and Carine ""That's our Chris."""
ID-60 ;anger;And just as quickly as Chris has been handed his diploma, he civilly descends the platform steps.
ID-61 ;anger;TIME CUT:  SLO-MO: A ballet of graduation caps float upward into a frame of blue sky.
ID-62 ;anger;We HEAR Chris' voice OVER this image as we intermittently cut away from the caps against the sky to focus on his parents.
ID-63 ;anger;(HIGH ANGLE: floating caps in FOREGROUND, Walt and Billie delight upon the caps.)
ID-64 ;anger;An outer glee in sharp contrast to voice over:  CHRIS (V.O.)
ID-65 ;anger;I see them standing at the formal gates of their colleges, I see my father strolling out under the ochre sandstone arch, the red tiles glinting like bent plates of blood behind his head, I see my mother with a few light books at her hip standing at the pillar made of tiny bricks with the wrought-iron gate still open behind her, its sword-tips black in the May air, they are about to graduate, they are about to get married, they are kids, they are dumb, all they know is they are innocent, they would never hurt anybody.
ID-66 ;anger;I want to go up to them and say Stop, don't do it--she's the wrong woman, he's the wrong man, you are going to do things you cannot imagine you would ever do, you are going to do bad things to children, you are going to suffer in ways you never heard of, you are going to want to die.
ID-67 ;anger;I want to go up to them there in the late May sunlight and say it, her hungry pretty blank face turning to me, (MORE)  5.
ID-68 ;anger;CHRIS (V.O.)
ID-69 ;anger;(CONT'D) her pitiful beautiful untouched body, his arrogant handsome blind face turning to me, his pitiful beautiful untouched body, but I don't do it.
ID-70 ;anger;I want to live.
ID-71 ;anger;I take them up like the male and female paper dolls and bang them together at the hips like chips of flint as if to strike sparks from them, I say...
ID-72 ;anger;The last graduation cap falls out of the `blue sky' frame, and into...  CUT TO:   3   INT.
ID-73 ;anger;ATLANTA RESTAURANT - LATER                                3 (Graduation ceremony wardrobe)  Walt and Billie sit at a table.
ID-74 ;anger;A Cadillac can be seen through the window (ATLANTA LANDMARK), parked beside the restaurant.
ID-75 ;anger;BILLIE Here they are.
ID-76 ;anger;Walt looks out the window and sees Chris drive up in his old yellow Datsun with Carine in the passenger seat beside him, and pulls up to the space beside the Cadillac.
ID-77 ;anger;4   INT.
ID-78 ;anger;DATSUN                                                    4  Chris is holding a book from which he reads aloud the LAST LINE OF THE POEM... CHRIS I say...Do what you are going to do, and I will tell about it.
ID-79 ;anger;CARINE Who wrote that?
ID-80 ;anger;CHRIS Well, it could've been either one of us, couldn't it?
ID-81 ;anger;He hands a book of Sharon Olds' poetry to her.
ID-82 ;anger;CHRIS (CONT'D) There's a lot of great poems in there.
ID-83 ;anger;6.
ID-84 ;anger;CARINE Thanks, big brother.
ID-85 ;anger;They exit the car and frame.
ID-86 ;anger;5   INT.
ID-87 ;anger;ATLANTA RESTAURANT - SAME                                5  Chris and Carine join Walt and Billie at the table.
ID-88 ;anger;Billie gets up and gives Chris a big hug.
ID-89 ;anger;BILLIE You scared the daylights out of me, jumping on to that stage, oh my god.
ID-90 ;anger;Chris gives Carine a look.
ID-91 ;anger;Walt extends his hand to Chris.
ID-92 ;anger;WALT Congratulations, son.
ID-93 ;anger;They all sit and pick up menus.
ID-94 ;anger;CHRIS I'm starving.
ID-95 ;anger;TIME CUT:   6   INT.
ID-96 ;anger;ATLANTA RESTAURANT - LATER                               6  The foods on the table.
ID-97 ;anger;Chris is devouring a steak.
ID-98 ;anger;CHRIS My grades are gonna be good enough, I think, to get into Harvard Law.
ID-99 ;anger;WALT That's a big deal.
ID-100 ;anger;What do you have left in your college fund?
ID-101 ;anger;CHRIS It's an inheritance, dad.
ID-102 ;anger;I've only been spending it as a college fund...Exactly twenty-four thousand five hundred dollars and sixty-eight cents.
ID-103 ;anger;BILLIE That's very specific.
ID-104 ;anger;CHRIS I had to go to the bank this morning.
ID-105 ;anger;7.
ID-106 ;anger;WALT Well, we'll certainly contribute the balance for Harvard.
ID-107 ;anger;CHRIS Yeah.
ID-108 ;anger;I've got to figure out what I'm going to do.
ID-109 ;anger;I got a lot of things to pack and organize here first.
ID-110 ;anger;BILLIE I'm so glad you're getting out of that place you're living.
ID-111 ;anger;It was so much nicer when you lived on campus.
ID-112 ;anger;WALT You'll come to Annandale before you disappear on us, won't you?
ID-113 ;anger;CHRIS (reluctantly) Sure, I will.
ID-114 ;anger;Carine's not so sure.
ID-115 ;anger;BILLIE You promise?
ID-116 ;anger;CHRIS (whining) Mom.
ID-117 ;anger;BILLIE Well, your father and I want to make a present to you.
ID-118 ;anger;WALT We want to get you out of that junker.
ID-119 ;anger;CHRIS What's a junker?
ID-120 ;anger;Walt points outside to the Datsun.
ID-121 ;anger;CHRIS (CONT'D) The Datsun?
ID-122 ;anger;WALT Yes.
ID-123 ;anger;We want to get you a new car.
ID-124 ;anger;CHRIS (appalled) A new car?
ID-125 ;anger;Why the hell would I want a new car?
ID-126 ;anger;The Datsun runs great.
ID-127 ;anger;(MORE)  8.
ID-128 ;anger;CHRIS (CONT'D) (Mocking the Cadillac) Do you think I want some fancy boat?
ID-129 ;anger;Or are you worried about what the neighbors might think?
ID-130 ;anger;BILLIE We weren't going to get you a Cadillac, Chris.
ID-131 ;anger;Just a nice new car that's safe to drive.
ID-132 ;anger;You don't know when that thing's just going to suddenly blow up.
ID-133 ;anger;CHRIS Blow up?
ID-134 ;anger;Blow up?!
ID-135 ;anger;Are you guys crazy?
ID-136 ;anger;It's a great car.
ID-137 ;anger;I don't need a new car.
ID-138 ;anger;I don't want a new car.
ID-139 ;anger;I don't want anything.
ID-140 ;anger;Thing, thing, thing.
ID-141 ;anger;Under the table, Carine jabs Chris' leg.
ID-142 ;anger;Chris returning to polite -  CHRIS (CONT'D) But, thanks anyway.
ID-143 ;anger;WALT Everything's gotta be difficult.
ID-144 ;anger;CHRIS I said thank you.
ID-145 ;anger;I just don't want anything.
ID-146 ;anger;The group returns to some superficial calm.
ID-147 ;anger;CARINE I wouldn't say no to a new car.
ID-148 ;anger;CHRIS (mumbling a rib) Ivana Trump McCandless.
ID-149 ;anger;CARINE (laughing it off) Shut up, Chris.
ID-150 ;anger;(to her parents, seriously) Seriously, I'll pay you back.
ID-151 ;anger;CUT TO:   7   INT.
ID-152 ;anger;OFF-CAMPUS ROOMING HOUSE, SECOND-FLOOR, ATLANTA -         7 DAY  OVER Chris' shoulder, he frisbees his graduation cap from the upstairs window to his parents parting Cadillac on the street.
ID-153 ;anger;9.
ID-154 ;anger;As they wave goodbye, Carine catches the cap from the backseat window.
ID-155 ;anger;And with a parting smile to her brother, she poses with it on her own head.
ID-156 ;anger;Chris smiles and waves goodbye.
ID-157 ;anger;As the Cadillac drifts away, his smile disappears into something other than sadness.
ID-158 ;anger;TIME CUT:   8   INT.
ID-159 ;anger;"OFF-CAMPUS ROOMING HOUSE - NIGHT                         8  In a warm ambient light, we SEE a black and white poster on a barren wall: Poncho-clad Clint Eastwood from ""The Good, The Bad, And The Ugly."""
