ID;GOLD;TEXT
ID-3 ;negative;This is BIG Alaska.
ID-4 ;negative;A beat up 4x4 pick-up enters very small into the upper left corner of frame on an unkept, snow-packed road, and comes to a stop.
ID-5 ;negative;A figure exits the passenger side and moves around the front of the truck.
ID-6 ;negative;We can just make out the rifle sticking out of his backpack.
ID-7 ;negative;"We HEAR a very distant ""Thank You"" as the figure walks away from the road and away from the truck, seemingly into nowhere."
ID-8 ;negative;DRIVER Hey!
ID-9 ;negative;The figure with backpack and rifle, henceforth BACKPACK, stopping in his tracks, turns around in the direction of the truck.
ID-10 ;negative;DRIVER (CONT'D) Come here.
ID-11 ;negative;BACKPACK walks back to the truck.
ID-12 ;negative;As he approaches the driver's door, we  CUT IN TO: TIGHT SHOT over the back-packed shoulder onto the DRIVER.
ID-13 ;negative;DRIVER (CONT'D) (referring to items we see sitting on dashboard) You left your watch, your comb, your change...  We STAY on the DRIVER as BACKPACK speaks:  BACKPACK Keep it.
ID-14 ;negative;DRIVER I don't want your money.
ID-15 ;negative;And I already have a watch.
ID-16 ;negative;BACKPACK If you don't take it, I'm gonna throw it away.
ID-17 ;negative;I don't want to know what time it is, what day it is, or where I am.
ID-18 ;negative;(MORE)  2.
ID-19 ;negative;BACKPACK (CONT'D) I don't want to see anybody.
ID-20 ;negative;None of that matters.
ID-21 ;negative;The driver reaches behind the seat of the truck, pulls out an old pair of rubber work boots.
ID-22 ;negative;DRIVER (handing him the boots) Take em.
ID-23 ;negative;There is a pause as Backpack considers accepting the boots.
ID-24 ;negative;DRIVER (CONT'D) If you make it out alive, give me a call, and I'll tell you how to get the boots back to me.
ID-25 ;negative;We can feel over Backpack's shoulder that he has taken the boots and is putting them on but we STAY on the driver.
ID-26 ;negative;BACKPACK Hey, do me a favor, will ya?
ID-27 ;negative;Take a picture of me.
ID-28 ;negative;Backpack hands him an Instamatic camera and starts walking backwards.
ID-29 ;negative;We PULL BACK with him.
ID-30 ;negative;And he maintains his back to us.
ID-31 ;negative;When he stops, we CONTINUE until he is FULL-FRAME, head-to-toe from behind, posing.
ID-32 ;negative;CUT TO:  CU: driver  CLICK.
ID-33 ;negative;He snaps the shot.
ID-34 ;negative;Backpack re-enters frame in an OVER-SHOULDER.
ID-35 ;negative;Driver hands him the camera.
ID-36 ;negative;DRIVER You gonna be alright?
ID-37 ;negative;BACKPACK I'll be better than that.
ID-38 ;negative;(I'll be who I am.)
ID-39 ;negative;As Backpack exits the frame, we SLOWLY ZOOM past the concerned face of the driver onto the loose change, the comb, and the watch on the dash.
ID-40 ;negative;3.
ID-41 ;negative;Throughout the ZOOM, the SOUND of FOOTSTEPS CRUNCHING THE SNOW, FADE into the distance.
ID-42 ;negative;BACK TO:  ORIGINAL WIDE-SHOT:  We see the small form of the truck and the smaller form of the Backpacker walking away from the truck until the Backpacker has exited the frame.
ID-43 ;negative;The truck takes a BEAT, turns around in the snow, and accelerates back into the direction from which it came.
ID-44 ;negative;As the truck exits frame, we -  DISSOLVE TO:   2   EXT.
ID-45 ;negative;COMMENCEMENT GROUNDS, EMORY UNIVERSITY, ATLANTA -         2 DAY  SUPER: May 1990  The crowd of family and friends, and of course, students.
ID-46 ;negative;Assembled on fold-out chairs.
ID-47 ;negative;The broad lawn.
ID-48 ;negative;INTERCUT: CHRIS MCCANDLESS.
ID-49 ;negative;We don't see his face, just feet pounding the pavement at an increasing pace.
ID-50 ;negative;One by one the names of graduates announced.
ID-51 ;negative;Their bright young faces, capped heads, and gowns, glide up to the podium to accept their diplomas.
ID-52 ;negative;INTERCUT: Chris, on his run, sweatshirt hood over head.
ID-53 ;negative;Amongst assembled crowd and family we find: THE MCCANDLESS': BILLIE, mid to late forties with dark striking eyes
ID-54 ;negative;They look around, looking for Chris, he's nowhere in sight.
ID-55 ;negative;INTERCUT: Chris, in a shower (PHOTO-SONICS) He TURNS INTO CAMERA, the water streaming down his face.
ID-56 ;negative;From the announcement podium comes the name of their son and brother, CHRISTOPHER JOHNSON MCCANDLESS.
ID-57 ;negative;The McCandless family increasingly panicked over Chris' absence, when almost magically, he appears in full cap and gown.
ID-58 ;negative;4.
ID-59 ;negative;"Disregarding the steps that lead up to the podium platform, the small-framed but athletic CHRIS MCCANDLESS leaps jubilantly onto the stage in a single bound, frightening Billie, a little wince from Walt, and Carine ""That's our Chris."""
ID-60 ;negative;And just as quickly as Chris has been handed his diploma, he civilly descends the platform steps.
ID-61 ;negative;TIME CUT:  SLO-MO: A ballet of graduation caps float upward into a frame of blue sky.
ID-62 ;negative;We HEAR Chris' voice OVER this image as we intermittently cut away from the caps against the sky to focus on his parents.
ID-63 ;negative;(HIGH ANGLE: floating caps in FOREGROUND, Walt and Billie delight upon the caps.)
ID-64 ;negative;An outer glee in sharp contrast to voice over:  CHRIS (V.O.)
ID-65 ;negative;I see them standing at the formal gates of their colleges, I see my father strolling out under the ochre sandstone arch, the red tiles glinting like bent plates of blood behind his head, I see my mother with a few light books at her hip standing at the pillar made of tiny bricks with the wrought-iron gate still open behind her, its sword-tips black in the May air, they are about to graduate, they are about to get married, they are kids, they are dumb, all they know is they are innocent, they would never hurt anybody.
ID-66 ;negative;I want to go up to them and say Stop, don't do it--she's the wrong woman, he's the wrong man, you are going to do things you cannot imagine you would ever do, you are going to do bad things to children, you are going to suffer in ways you never heard of, you are going to want to die.
ID-67 ;negative;I want to go up to them there in the late May sunlight and say it, her hungry pretty blank face turning to me, (MORE)  5.
ID-68 ;negative;CHRIS (V.O.)
ID-69 ;negative;(CONT'D) her pitiful beautiful untouched body, his arrogant handsome blind face turning to me, his pitiful beautiful untouched body, but I don't do it.
ID-70 ;negative;I want to live.
ID-71 ;negative;I take them up like the male and female paper dolls and bang them together at the hips like chips of flint as if to strike sparks from them, I say...
ID-72 ;negative;The last graduation cap falls out of the `blue sky' frame, and into...  CUT TO:   3   INT.
ID-73 ;negative;ATLANTA RESTAURANT - LATER                                3 (Graduation ceremony wardrobe)  Walt and Billie sit at a table.
ID-74 ;negative;A Cadillac can be seen through the window (ATLANTA LANDMARK), parked beside the restaurant.
ID-75 ;negative;BILLIE Here they are.
ID-76 ;negative;Walt looks out the window and sees Chris drive up in his old yellow Datsun with Carine in the passenger seat beside him, and pulls up to the space beside the Cadillac.
ID-77 ;negative;4   INT.
ID-78 ;negative;DATSUN                                                    4  Chris is holding a book from which he reads aloud the LAST LINE OF THE POEM... CHRIS I say...Do what you are going to do, and I will tell about it.
ID-79 ;negative;CARINE Who wrote that?
ID-80 ;negative;CHRIS Well, it could've been either one of us, couldn't it?
ID-81 ;negative;He hands a book of Sharon Olds' poetry to her.
ID-82 ;negative;CHRIS (CONT'D) There's a lot of great poems in there.
ID-83 ;negative;6.
ID-84 ;negative;CARINE Thanks, big brother.
ID-85 ;negative;They exit the car and frame.
ID-86 ;negative;5   INT.
ID-87 ;negative;ATLANTA RESTAURANT - SAME                                5  Chris and Carine join Walt and Billie at the table.
ID-88 ;negative;Billie gets up and gives Chris a big hug.
ID-89 ;negative;BILLIE You scared the daylights out of me, jumping on to that stage, oh my god.
ID-90 ;negative;Chris gives Carine a look.
ID-91 ;negative;Walt extends his hand to Chris.
ID-92 ;negative;WALT Congratulations, son.
ID-93 ;negative;They all sit and pick up menus.
ID-94 ;negative;CHRIS I'm starving.
ID-95 ;negative;TIME CUT:   6   INT.
ID-96 ;negative;ATLANTA RESTAURANT - LATER                               6  The foods on the table.
ID-97 ;negative;Chris is devouring a steak.
