ID	Gold	Pred	Text
ID-3 	anger	noEmo	This is BIG Alaska.
ID-4 	anger	noEmo	A beat up 4x4 pick-up enters very small into the upper left corner of frame on an unkept, snow-packed road, and comes to a stop.
ID-5 	anger	mixedEmo	A figure exits the passenger side and moves around the front of the truck.
ID-6 	anger	mixedEmo	We can just make out the rifle sticking out of his backpack.
ID-7 	anger	trust	"""We HEAR a very distant """"Thank You"""" as the figure walks away from the road and away from the truck, seemingly into nowhere."""
ID-8 	anger	noEmo	DRIVER Hey!
ID-9 	anger	mixedEmo	The figure with backpack and rifle, henceforth BACKPACK, stopping in his tracks, turns around in the direction of the truck.
ID-10 	anger	noEmo	DRIVER (CONT'D) Come here.
ID-11 	anger	trust	BACKPACK walks back to the truck.
ID-12 	anger	trust	As he approaches the driver's door, we  CUT IN TO: TIGHT SHOT over the back-packed shoulder onto the DRIVER.
ID-13 	anger	fear	DRIVER (CONT'D) (referring to items we see sitting on dashboard) You left your watch, your comb, your change...  We STAY on the DRIVER as BACKPACK speaks:  BACKPACK Keep it.
ID-14 	anger	mixedEmo	DRIVER I don't want your money.
ID-15 	anger	mixedEmo	And I already have a watch.
ID-16 	anger	noEmo	BACKPACK If you don't take it, I'm gonna throw it away.
ID-17 	anger	anticipation	I don't want to know what time it is, what day it is, or where I am.
ID-18 	anger	noEmo	(MORE)  2.
ID-19 	anger	noEmo	BACKPACK (CONT'D) I don't want to see anybody.
ID-20 	anger	noEmo	None of that matters.
ID-21 	anger	trust	The driver reaches behind the seat of the truck, pulls out an old pair of rubber work boots.
ID-22 	anger	noEmo	DRIVER (handing him the boots) Take em.
ID-23 	anger	noEmo	There is a pause as Backpack considers accepting the boots.
ID-24 	anger	mixedEmo	DRIVER (CONT'D) If you make it out alive, give me a call, and I'll tell you how to get the boots back to me.
ID-25 	anger	trust	We can feel over Backpack's shoulder that he has taken the boots and is putting them on but we STAY on the driver.
ID-26 	anger	noEmo	BACKPACK Hey, do me a favor, will ya?
ID-27 	anger	noEmo	Take a picture of me.
ID-28 	anger	disgust	Backpack hands him an Instamatic camera and starts walking backwards.
ID-29 	anger	noEmo	We PULL BACK with him.
ID-30 	anger	noEmo	And he maintains his back to us.
ID-31 	anger	noEmo	When he stops, we CONTINUE until he is FULL-FRAME, head-to-toe from behind, posing.
ID-32 	anger	noEmo	CUT TO:  CU: driver  CLICK.
ID-33 	anger	mixedEmo	He snaps the shot.
ID-34 	anger	noEmo	Backpack re-enters frame in an OVER-SHOULDER.
