ID	Gold	Pred	Text
ID-3 	negative	neutral	This is BIG Alaska.
ID-4 	negative	negative	A beat up 4x4 pick-up enters very small into the upper left corner of frame on an unkept, snow-packed road, and comes to a stop.
ID-5 	negative	neutral	A figure exits the passenger side and moves around the front of the truck.
ID-6 	negative	neutral	We can just make out the rifle sticking out of his backpack.
ID-7 	negative	positive	"""We HEAR a very distant """"Thank You"""" as the figure walks away from the road and away from the truck, seemingly into nowhere."""
ID-8 	negative	neutral	DRIVER Hey!
ID-9 	negative	negative	The figure with backpack and rifle, henceforth BACKPACK, stopping in his tracks, turns around in the direction of the truck.
ID-10 	negative	neutral	DRIVER (CONT'D) Come here.
ID-11 	negative	neutral	BACKPACK walks back to the truck.
ID-12 	negative	negative	As he approaches the driver's door, we  CUT IN TO: TIGHT SHOT over the back-packed shoulder onto the DRIVER.
ID-13 	negative	neutral	DRIVER (CONT'D) (referring to items we see sitting on dashboard) You left your watch, your comb, your change...  We STAY on the DRIVER as BACKPACK speaks:  BACKPACK Keep it.
ID-14 	negative	negative	DRIVER I don't want your money.
ID-15 	negative	neutral	And I already have a watch.
ID-16 	negative	neutral	BACKPACK If you don't take it, I'm gonna throw it away.
ID-17 	negative	negative	I don't want to know what time it is, what day it is, or where I am.
ID-18 	negative	neutral	(MORE)  2.
ID-19 	negative	negative	BACKPACK (CONT'D) I don't want to see anybody.
ID-20 	negative	negative	None of that matters.
ID-21 	negative	positive	The driver reaches behind the seat of the truck, pulls out an old pair of rubber work boots.
ID-22 	negative	neutral	DRIVER (handing him the boots) Take em.
ID-23 	negative	positive	There is a pause as Backpack considers accepting the boots.
ID-24 	negative	positive	DRIVER (CONT'D) If you make it out alive, give me a call, and I'll tell you how to get the boots back to me.
ID-25 	negative	neutral	We can feel over Backpack's shoulder that he has taken the boots and is putting them on but we STAY on the driver.
ID-26 	negative	positive	BACKPACK Hey, do me a favor, will ya?
ID-27 	negative	neutral	Take a picture of me.
ID-28 	negative	neutral	Backpack hands him an Instamatic camera and starts walking backwards.
ID-29 	negative	neutral	We PULL BACK with him.
ID-30 	negative	neutral	And he maintains his back to us.
ID-31 	negative	negative	When he stops, we CONTINUE until he is FULL-FRAME, head-to-toe from behind, posing.
ID-32 	negative	negative	CUT TO:  CU: driver  CLICK.
ID-33 	negative	neutral	He snaps the shot.
ID-34 	negative	neutral	Backpack re-enters frame in an OVER-SHOULDER.
ID-35 	negative	neutral	Driver hands him the camera.
ID-36 	negative	positive	DRIVER You gonna be alright?
ID-37 	negative	positive	BACKPACK I'll be better than that.
ID-38 	negative	neutral	(I'll be who I am.)
ID-39 	negative	negative	As Backpack exits the frame, we SLOWLY ZOOM past the concerned face of the driver onto the loose change, the comb, and the watch on the dash.
ID-40 	negative	neutral	3.
ID-41 	negative	neutral	Throughout the ZOOM, the SOUND of FOOTSTEPS CRUNCHING THE SNOW, FADE into the distance.
ID-42 	negative	positive	BACK TO:  ORIGINAL WIDE-SHOT:  We see the small form of the truck and the smaller form of the Backpacker walking away from the truck until the Backpacker has exited the frame.
ID-43 	negative	neutral	The truck takes a BEAT, turns around in the snow, and accelerates back into the direction from which it came.
ID-44 	negative	neutral	As the truck exits frame, we -  DISSOLVE TO:   2   EXT.
ID-45 	negative	positive	COMMENCEMENT GROUNDS, EMORY UNIVERSITY, ATLANTA -         2 DAY  SUPER: May 1990  The crowd of family and friends, and of course, students.
ID-46 	negative	neutral	Assembled on fold-out chairs.
ID-47 	negative	neutral	The broad lawn.
ID-48 	negative	neutral	INTERCUT: CHRIS MCCANDLESS.
ID-49 	negative	neutral	We don't see his face, just feet pounding the pavement at an increasing pace.
ID-50 	negative	neutral	One by one the names of graduates announced.
ID-51 	negative	positive	Their bright young faces, capped heads, and gowns, glide up to the podium to accept their diplomas.
ID-52 	negative	neutral	INTERCUT: Chris, on his run, sweatshirt hood over head.
ID-53 	negative	neutral	Amongst assembled crowd and family we find: THE MCCANDLESS': BILLIE, mid to late forties with dark striking eyes
ID-54 	negative	neutral	They look around, looking for Chris, he's nowhere in sight.
ID-55 	negative	neutral	INTERCUT: Chris, in a shower (PHOTO-SONICS) He TURNS INTO CAMERA, the water streaming down his face.
ID-56 	negative	neutral	From the announcement podium comes the name of their son and brother, CHRISTOPHER JOHNSON MCCANDLESS.
ID-57 	negative	negative	The McCandless family increasingly panicked over Chris' absence, when almost magically, he appears in full cap and gown.
ID-58 	negative	neutral	4.
